,tanggal,clean_text,Kandidat,Minggu ke-,positive,negative,label,score,sentimen,Sentimen_kode,sentimem,minggu pertama
0,10/2/2020 9:37,baca bom blog,Bagyo-Supardjo,1,0,0.333333333,negative,-0.333333333,0,Negatif,,TRUE
1,10/2/2020 4:08,pria tampil tayang tv swasta kemarin pasang teguh prakosa tarung,Bagyo-Supardjo,1,0.2,0,positive,0.2,2,Positif,,TRUE
2,9/30/2020 14:36,matanajwa matanajwaberebuttakhtaditengahwabah transwarga solo pilih bagyo wahyono fx,Bagyo-Supardjo,1,0.125,0.375,negative,-0.25,0,Negatif,,TRUE
3,9/29/2020 14:55,metode kampanye online kampanye door to door cenderung fokus paslon bajo,Bagyo-Supardjo,1,0,0.090909091,negative,-0.090909091,0,Negatif,,TRUE
4,9/29/2020 14:49,metode kampanye online kampanye door to door cenderung fokus paslon,Bagyo-Supardjo,1,0,0.1,negative,-0.1,0,Negatif,,TRUE
5,9/29/2020 10:16,masyarakat kota solo anti politik dinasti sepakat dukung dannangkat bagyo wahyono supardjo sbg wali kota sol,Bagyo-Supardjo,1,0.1875,0.0625,positive,0.125,1,Netral,1,TRUE
6,9/27/2020 11:37,kampanye rumah warga rawan target ruma,Bagyo-Supardjo,1,0,0.166666667,negative,-0.166666667,0,Negatif,,TRUE
7,9/26/2020 15:54,bunyi deklarasi komitmen pasang calon gibranteguh bagyosupardjo pilwal,Bagyo-Supardjo,1,0.25,0.125,positive,0.125,0,Negatif,,TRUE
8,9/26/2020 13:22,pasang calon bagyo wahyonofx supardjo alias bajo sulap solo kota megapolitan,Bagyo-Supardjo,1,0.090909091,0.090909091,positive,0,1,Netral,1,TRUE
9,9/26/2020 9:11,pilkada solo gibranteguh bagyosupardjo komitmen kampanye taat protokol sehat taucepattanpabatas,Bagyo-Supardjo,1,0.6,0.1,positive,0.5,0,Negatif,,TRUE
10,10/2/2020 22:49,populer nusantara konlik kapolres blitar kasat sabhara solo sandiaga ipers,Gibran-Teguh,1,0.1,0,positive,0.1,0,Negatif,,TRUE
11,10/2/2020 22:16,sandiaga uno kampanye pasang calon wali kota wakil wali kota solo gibran rakabuming rakateguh prakos,Gibran-Teguh,1,0.266666667,0.066666667,positive,0.2,1,Netral,1,TRUE
12,10/2/2020 21:51,sandiaga uno kampanye gibranteguh pilkada solo lobi jokowi,Gibran-Teguh,1,0.125,0,positive,0.125,0,Negatif,,TRUE
13,10/2/2020 20:43,ninggal tatukowe tak sayangsayang saiki ngilang tresnamu karo kuwi mung kias kowe tak gadhang,Gibran-Teguh,1,0.142857143,0.142857143,positive,0,0,Negatif,,TRUE
14,10/2/2020 19:31,sandi uno kampanye gibranteguh pilkada solo lobi jokowiperjuangan bapak martabak anak,Gibran-Teguh,1,0.090909091,0.181818182,negative,-0.090909091,0,Negatif,,TRUE
15,10/2/2020 13:21,tidur ah sakit badan nihh,Gibran-Teguh,1,0,0.4,negative,-0.4,0,Negatif,,TRUE
16,10/2/2020 13:05,nyeri awak,Gibran-Teguh,1,0,0.5,negative,-0.5,0,Negatif,,TRUE
17,10/2/2020 13:05,ngantukkkk,Gibran-Teguh,1,0,0,positive,0,0,Negatif,,TRUE
18,10/2/2020 12:46,sandi uno kampanye gibranteguh pilkada solo lobi jokowiperjuangan bapak mart,Gibran-Teguh,1,0.1,0.2,negative,-0.1,0,Negatif,,TRUE
19,10/2/2020 10:39,sandiaga uno nama besar jurkam paslon gibranteguh solo pilkada,Gibran-Teguh,1,0.222222222,0,positive,0.222222222,0,Negatif,,TRUE
20,10/2/2020 10:18,respons kabar sandiaga jurkam gibran rancang kampanye daring wakil ketua dewan bina partai gerindra,Gibran-Teguh,1,0,0.071428571,negative,-0.071428571,1,Netral,1,TRUE
21,10/2/2020 9:33,sandiaga uno kampanye gibranteguh pilkada solo lobi jokowi borong medan solo htt,Gibran-Teguh,1,0.083333333,0.083333333,positive,0,0,Negatif,,TRUE
22,10/2/2020 8:34,hoammmmmm,Gibran-Teguh,1,0,0,positive,0,0,Negatif,,TRUE
23,10/2/2020 8:32,gibran teguh pilkada sesuai jadwal demokratis aman covid,Gibran-Teguh,1,0.375,0,positive,0.375,2,Positif,,TRUE
24,10/2/2020 8:31,solo ber gibran teguh pilih,Gibran-Teguh,1,0.2,0.2,positive,0,2,Positif,,TRUE
25,10/2/2020 8:31,gibran teguh nomor urut pilkada solo pa,Gibran-Teguh,1,0.142857143,0,positive,0.142857143,2,Positif,,TRUE
26,10/2/2020 8:29,gibran teguh komitmen jaga protokol sehat kampanye,Gibran-Teguh,1,0.571428571,0,positive,0.571428571,2,Positif,,TRUE
27,10/2/2020 8:29,gibran teguh dukung pilkada aman secret clean pt victoria care bantu hand sanitizer,Gibran-Teguh,1,0.153846154,0.076923077,positive,0.076923077,2,Positif,,TRUE
28,10/2/2020 7:42,capek euy,Gibran-Teguh,1,0,0.5,negative,-0.5,0,Negatif,,TRUE
29,10/2/2020 7:30,sandiaga uno digadanggadang jurkam paslon gibranteguh pilkada solo sandiaga jurkam ta,Gibran-Teguh,1,0.090909091,0,positive,0.090909091,0,Negatif,,TRUE
30,10/2/2020 6:45,mantan wakil gubernur dki jakarta sandiaga uno kampanye pasang calon gibran rakabuming rakate,Gibran-Teguh,1,0.153846154,0.076923077,positive,0.076923077,1,Netral,1,TRUE
31,10/2/2020 6:44,gk butuh jurkam pusat spt warga solo berdi,Gibran-Teguh,1,0.125,0.125,positive,0,0,Negatif,,TRUE
32,10/2/2020 6:37,wakil ketua dpp gerindra kampanye pasang calon wali kota wakil wali kota solo gi,Gibran-Teguh,1,0,0.071428571,negative,-0.071428571,1,Netral,1,TRUE
33,10/2/2020 6:17,wakil ketua dpp gerindra kampanye pasang calon wali kota wakil wali kota so,Gibran-Teguh,1,0,0.076923077,negative,-0.076923077,1,Netral,1,TRUE
34,10/2/2020 6:02,asyiikkk,Gibran-Teguh,1,0,0,positive,0,0,Negatif,,TRUE
35,10/2/2020 6:01,laparrr,Gibran-Teguh,1,0,0,positive,0,0,Negatif,,TRUE
37,10/2/2020 5:02,mantap sandiaga uno jurkam gibranteguh pilkada solo,Gibran-Teguh,1,0.142857143,0,positive,0.142857143,0,Negatif,,TRUE
38,10/2/2020 5:02,ardianto kaji deklarasi tim menang paslon gibranteguh,Gibran-Teguh,1,0.285714286,0,positive,0.285714286,0,Negatif,,TRUE
39,10/2/2020 5:02,mantan wakil gubernur dki jakarta mengkampanyekan pasang gibranteguh virtual,Gibran-Teguh,1,0.111111111,0,positive,0.111111111,0,Negatif,,TRUE
40,10/2/2020 5:02,model kampanye sandiaga paslon gibranteguh gibran sandi,Gibran-Teguh,1,0.142857143,0,positive,0.142857143,0,Negatif,,TRUE
41,10/2/2020 5:02,faktor sandiaga prabowo subianto ketua dpp partai gerindra presiden jokowi s,Gibran-Teguh,1,0.090909091,0.090909091,positive,0,0,Negatif,,TRUE
42,10/2/2020 5:02,kabar sandiaga kampanye pasang gibran teguh ketua dpc partai gerindra solo ardianto kuswinarno,Gibran-Teguh,1,0.076923077,0.076923077,positive,0,2,Positif,,TRUE
43,10/2/2020 4:54,wakil ketua dewan bina partai gerindra sandiaga salahudin uno kampanye jurkam pasang,Gibran-Teguh,1,0,0.166666667,negative,-0.166666667,1,Netral,1,TRUE
44,10/2/2020 4:44,orang amerika mikir biden menang trump kalah anaknya biden nyalon,Gibran-Teguh,1,0.1,0.1,positive,0,0,Negatif,,TRUE
45,10/2/2020 3:30,selamat bang moga solo bebas kaum intoleransi,Gibran-Teguh,1,0.285714286,0.142857143,positive,0.142857143,0,Negatif,,TRUE
47,10/2/2020 2:04,politis partai gerindra sandiaga solahuddin uno kampanye jurkam pasang calon wali kota w,Gibran-Teguh,1,0,0.153846154,negative,-0.153846154,1,Netral,1,TRUE
48,10/2/2020 1:53,sandiaga uno kampanye pasang calon wali kota wakil wali kota solo gibran rakabuming rakateguh,Gibran-Teguh,1,0.214285714,0.071428571,positive,0.142857143,1,Netral,1,TRUE
49,10/2/2020 1:39,pilwalkot solo sandiaga uno terjun jurkam gibranteguh,Gibran-Teguh,1,0.142857143,0,positive,0.142857143,0,Negatif,,TRUE
50,10/2/2020 1:03,oh,Gibran-Teguh,1,0,0,positive,0,0,Negatif,,TRUE
51,10/1/2020 23:35,sandiaga jurkam gibran solo bobby medan faktor sandiaga prabowo,Gibran-Teguh,1,0,0.111111111,negative,-0.111111111,0,Negatif,,TRUE
52,10/1/2020 23:02,sandiagauno prabowo gerindra pdiperjuangan,Gibran-Teguh,1,0,0.25,negative,-0.25,0,Negatif,,TRUE
53,10/1/2020 23:01,politis partai gerindra sandiaga solahuddin uno jukam pasang calon wali kota wakil wali,Gibran-Teguh,1,0,0.153846154,negative,-0.153846154,1,Netral,1,TRUE
54,10/1/2020 22:34,apbd kota solo bahas teguh masamasa sabar an,Gibran-Teguh,1,0.25,0.25,positive,0,2,Positif,,TRUE
55,10/1/2020 21:00,komitmen taat protokol sehat dengung warga program prioritas tegu,Gibran-Teguh,1,0.555555556,0,positive,0.555555556,0,Negatif,,TRUE
56,10/1/2020 17:49,sandiaga uno kampanye gibranteguh pilkada solo lobi jokowi borong medan sol,Gibran-Teguh,1,0.090909091,0.090909091,positive,0,0,Negatif,,TRUE
57,10/1/2020 16:27,gibran nggak manuver kirakira tum enggak pdip ng,Gibran-Teguh,1,0.125,0,positive,0.125,2,Positif,,TRUE
58,10/1/2020 16:27,lobilobinya politik tingkat tum prabowo subianto jokowi,Gibran-Teguh,1,0.142857143,0,positive,0.142857143,0,Negatif,,TRUE
59,10/1/2020 15:42,wkwkw jasa terawang gin dah gibranteguh menang kalo kalah kalem leg wkwkkw,Gibran-Teguh,1,0.166666667,0.166666667,positive,0,0,Negatif,,TRUE
60,10/1/2020 8:34,politis partai gerindra sandiaga solahuddin uno jukam pasang calon wali kota wakil wali kota sol,Gibran-Teguh,1,0,0.133333333,negative,-0.133333333,1,Netral,1,TRUE
61,10/1/2020 8:01,kabar papa online sandiaga uno jurkam gibranteguh pilkada solo klik baca,Gibran-Teguh,1,0.090909091,0.090909091,positive,0,0,Negatif,,TRUE
62,10/1/2020 7:21,gotong royong lawan covid gibran teguh,Gibran-Teguh,1,0.166666667,0.166666667,positive,0,2,Positif,,TRUE
63,10/1/2020 6:28,gibran genap teguh doa putra jokowi pilih wali kota bangun solo,Gibran-Teguh,1,0.181818182,0.090909091,positive,0.090909091,1,Netral,1,TRUE
64,10/1/2020 5:09,apbd kota solo bahas teguh masamasa sabar angga,Gibran-Teguh,1,0.25,0.25,positive,0,2,Positif,,TRUE
65,10/1/2020 4:32,urus dpd psi solo pimpin langsung bro antonius yoga fogging mukim wargapada me,Gibran-Teguh,1,0,0,positive,0,0,Negatif,,TRUE
66,9/30/2020 23:56,gibranteguh blusukan masyarakat rangka bantu masyarakat kena dampak pandemi,Gibran-Teguh,1,0.333333333,0,positive,0.333333333,0,Negatif,,TRUE
67,9/30/2020 15:20,najwa raguk gibran n su,Gibran-Teguh,1,0,0.2,negative,-0.2,2,Positif,,TRUE
68,9/30/2020 14:28,komitmen taat protokol sehat dengung warga program prioritas teguh a,Gibran-Teguh,1,0.6,0,positive,0.6,2,Positif,,TRUE
69,9/30/2020 14:27,paslon gibranteguh blusukan online lurah solo gibran a,Gibran-Teguh,1,0.125,0,positive,0.125,0,Negatif,,TRUE
70,9/30/2020 13:56,putra presiden joko widodo gibran rakabuming raka pasang teguh prakosa pilwalkot surakarta nasiona,Gibran-Teguh,1,0.384615385,0,positive,0.384615385,2,Positif,,TRUE
71,9/30/2020 13:50,putra presiden joko widodo gibran rakabuming raka pasang teguh prakosa pilwalkot surakarta,Gibran-Teguh,1,0.416666667,0,positive,0.416666667,2,Positif,,TRUE
72,9/30/2020 13:40,apbd kota solo bahas teguh masamasa sabar,Gibran-Teguh,1,0.285714286,0.285714286,positive,0,2,Positif,,TRUE
73,9/30/2020 13:15,komitmen taat protokol sehat dengung warga program prioritas,Gibran-Teguh,1,0.625,0,positive,0.625,0,Negatif,,TRUE
74,9/30/2020 11:12,solo gibran teguh pilihankusolohebat sobatsolohebat solomelompatlebihjauh lompatananakmudauntuksolo,Gibran-Teguh,1,0.714285714,0.428571429,positive,0.285714286,2,Positif,,TRUE
75,9/30/2020 11:07,bajo blusukan langsung tokoh agama gibranteguh pakai virtualbox,Gibran-Teguh,1,0.25,0,positive,0.25,0,Negatif,,TRUE
76,9/30/2020 8:10,identitas tugas masyarakat solo pasang gibran amp teguh bawa solo,Gibran-Teguh,1,0.2,0,positive,0.2,2,Positif,,TRUE
77,9/30/2020 7:53,identitas tugas masyarakat solo pasang gibran amp teguh prakasa memb,Gibran-Teguh,1,0.3,0,positive,0.3,2,Positif,,TRUE
78,9/30/2020 7:40,amunisi pkpi dukung gibran teguh pilkada solo,Gibran-Teguh,1,0.142857143,0.142857143,positive,0,2,Positif,,TRUE
79,9/30/2020 5:43,dana kampanye gibranteguh amp bajo masingmasing batas rp m,Gibran-Teguh,1,0.111111111,0.222222222,negative,-0.111111111,0,Negatif,,TRUE
80,9/30/2020 5:36,gibranteguh for solo gibranforsolo,Gibran-Teguh,1,0.25,0,positive,0.25,0,Negatif,,TRUE
81,9/30/2020 4:50,pasang gibranteguh bajo milik gaet warga kota solo simak gaya kampanye m,Gibran-Teguh,1,0.083333333,0,positive,0.083333333,0,Negatif,,TRUE
82,9/30/2020 4:40,gibran mohon maaf fans wkwkwkgibranteguh,Gibran-Teguh,1,0.4,0,positive,0.4,2,Positif,,TRUE
83,9/29/2020 17:25,urus dpd psi solo pimpin langsung bro antonius yoga fogging mukim wargapada y,Gibran-Teguh,1,0,0,positive,0,0,Negatif,,TRUE
84,9/29/2020 13:24,pilkada solo sandiaga uno kampanye gibranteguh,Gibran-Teguh,1,0.166666667,0,positive,0.166666667,0,Negatif,,TRUE
85,9/29/2020 13:23,kampanyepilkadavirtualkampanye perdana gibranteguh blusukan daring virtual boxkampanye gibran blusuka,Gibran-Teguh,1,0.111111111,0,positive,0.111111111,0,Negatif,,TRUE
86,9/29/2020 12:34,rapat baris menang gibranteguh,Gibran-Teguh,1,0.5,0,positive,0.5,0,Negatif,,TRUE
87,9/29/2020 12:11,ranting pdi juang sekota surakarta menang gibranteguh taat patuh protokol keseha,Gibran-Teguh,1,0.545454545,0.090909091,positive,0.454545455,0,Negatif,,TRUE
88,9/29/2020 9:03,ijin bal rapopo tahan sik sing ijin dodol tetep metu seko polri bekingane gibran teguh og,Gibran-Teguh,1,0.0625,0,positive,0.0625,2,Positif,,TRUE
89,9/29/2020 8:59,pilwakotsolo kampanye gibranteguh tugas,Gibran-Teguh,1,0.25,0,positive,0.25,0,Negatif,,TRUE
90,9/29/2020 7:56,pilwakot surakarta pilkada ramai nomor berita bahas sosok gibran media menyor,Gibran-Teguh,1,0.090909091,0.181818182,negative,-0.090909091,2,Positif,,TRUE
91,9/29/2020 7:15,paslon bajo gegaruk bidjie gegayaan luh pilkada kalo usul mending,Gibran-Teguh,1,0,0.1,negative,-0.1,0,Negatif,,TRUE
92,9/29/2020 4:29,dana kampanye gibranteguh rp juta bajo rp pilkada,Gibran-Teguh,1,0.125,0,positive,0.125,0,Negatif,,TRUE
93,9/29/2020 2:59,komisi pilih kpu solo jawa terima daftar akun media sosial medsos milik,Gibran-Teguh,1,0.25,0.166666667,positive,0.083333333,0,Negatif,,TRUE
94,9/29/2020 2:10,megawati turun gunung jurkam gibranteguh kalah harga pdipjokowi hancur,Gibran-Teguh,1,0.111111111,0.222222222,negative,-0.111111111,0,Negatif,,TRUE
95,9/29/2020 1:33,pilkada solo lawan gibranteguh dana kampanye pasang bajo rp,Gibran-Teguh,1,0.111111111,0.111111111,positive,0,0,Negatif,,TRUE
96,9/29/2020 1:31,akh pegang teguh penggal kalimat khalil gibran wkwk,Gibran-Teguh,1,0.125,0,positive,0.125,2,Positif,,TRUE
97,9/28/2020 22:50,warga solo antusias box virtual kampanye sedia paslon gibranteguh warga keluh kesah de,Gibran-Teguh,1,0.230769231,0,positive,0.230769231,0,Negatif,,TRUE
98,9/28/2020 21:24,warga solo antusias box virtual kampanye sedia paslon gibranteguh warga kelu,Gibran-Teguh,1,0.181818182,0,positive,0.181818182,0,Negatif,,TRUE
99,9/28/2020 21:18,ayo rapatkann baris utk menang gibran teguh dgn terap disiplin protok kesehatansa,Gibran-Teguh,1,0.416666667,0,positive,0.416666667,2,Positif,,TRUE
100,9/28/2020 16:49,pilkada solo lawan gibranteguh dana kampanye pasang bajo rp kelurahannusukan panjipanji,Gibran-Teguh,1,0.090909091,0.090909091,positive,0,0,Negatif,,TRUE
101,9/28/2020 16:49,berita kampanye virtual sdh paslon walikota calon wakil walikota solo nomor u,Gibran-Teguh,1,0,0.083333333,negative,-0.083333333,1,Netral,1,TRUE
102,9/28/2020 16:47,selamat juang gibranteguhsemangat wujud surakarta kota budaya modern tangguh gesit kreatif da,Gibran-Teguh,1,0.583333333,0.083333333,positive,0.5,0,Negatif,,TRUE
103,9/28/2020 16:06,optimis gibranteguh terap kampanye sehat bahaya tular virus korona menang pilkada,Gibran-Teguh,1,0.363636364,0.181818182,positive,0.181818182,0,Negatif,,TRUE
104,9/28/2020 15:47,ranting pdi juang sekota surakarta menang gibranteguh taat patuh protokol,Gibran-Teguh,1,0.6,0.1,positive,0.5,0,Negatif,,TRUE
105,9/28/2020 15:12,kampanye virtual gibran rakabumingteguh prakosa puji warga solo,Gibran-Teguh,1,0.375,0,positive,0.375,2,Positif,,TRUE
106,9/28/2020 14:41,kampanye virtual gibran rakabumingteguh prakosa apresiasi warga,Gibran-Teguh,1,0.571428571,0,positive,0.571428571,2,Positif,,TRUE
107,9/28/2020 14:41,kampanye virtual sdh pasang calon walikota calon wakil walikota solo nomor urut gibr,Gibran-Teguh,1,0,0.153846154,negative,-0.153846154,1,Netral,1,TRUE
108,9/28/2020 14:28,selamat juang gibranteguhsemangat wujud surakarta kota budaya modern tangguh gesit kreat,Gibran-Teguh,1,0.545454545,0.090909091,positive,0.454545455,0,Negatif,,TRUE
109,9/28/2020 14:14,optimis gibranteguh terap kampanye sehat bahaya tular virus korona menang pilka,Gibran-Teguh,1,0.363636364,0.181818182,positive,0.181818182,0,Negatif,,TRUE
110,9/28/2020 10:19,kampanye virtual sdh paslon cawalkot solo dgn no urut kampany,Gibran-Teguh,1,0,0,positive,0,0,Negatif,,TRUE
111,9/28/2020 10:06,gibran sapa masyarakat virtual box keliling kampung teguh blusukan of,Gibran-Teguh,1,0.2,0.1,positive,0.1,2,Positif,,TRUE
112,9/28/2020 9:58,kampanye gibran teguh kantong dana rp m bajo rp,Gibran-Teguh,1,0.111111111,0,positive,0.111111111,2,Positif,,TRUE
113,9/28/2020 8:39,timbul kerumun massa pasang calon walikota solo gibran rakabuming raka teguh prakoso te,Gibran-Teguh,1,0.307692308,0.076923077,positive,0.230769231,1,Netral,1,TRUE
114,9/28/2020 8:38,dpc pdip solo target menang gibranteguh kontribusi y,Gibran-Teguh,1,0.375,0,positive,0.375,0,Negatif,,TRUE
115,9/28/2020 8:08,selamat juang gibran gibran teguh solo,Gibran-Teguh,1,0.333333333,0.166666667,positive,0.166666667,2,Positif,,TRUE
116,9/28/2020 8:03,gibran teguh kampanye unik blusukan online hindar kumpul massa patuh protocol,Gibran-Teguh,1,0.363636364,0.090909091,positive,0.272727273,2,Positif,,TRUE
117,9/28/2020 7:47,kampanye virtual pasang calon wali kota calon wakil wali kota solo nomor urut gibran rakab,Gibran-Teguh,1,0.066666667,0.133333333,negative,-0.066666667,1,Netral,1,TRUE
118,9/28/2020 7:37,pilwakot surakarta pilkada ramai nomor berita bahas sosok gibran media,Gibran-Teguh,1,0.1,0.2,negative,-0.1,2,Positif,,TRUE
119,9/28/2020 7:33,kampanye virtual sdh paslon gibranteguh pd kampanye bonorejo kel nusukan kec banjarsari solo jawa tenga,Gibran-Teguh,1,0.133333333,0,positive,0.133333333,0,Negatif,,TRUE
120,9/28/2020 7:33,pandemi covid ubah mek temu online paslon lainkampanye vi,Gibran-Teguh,1,0,0,positive,0,0,Negatif,,TRUE
121,9/28/2020 7:01,gibran teguh generasi,Gibran-Teguh,1,0.333333333,0,positive,0.333333333,2,Positif,,TRUE
122,9/28/2020 6:02,kampanye virtual sdh pasang calon walikota calon wakil walikota solo nomor urut,Gibran-Teguh,1,0,0.166666667,negative,-0.166666667,1,Netral,1,TRUE
123,9/28/2020 5:26,pasang cawali cawawali solo nomor urut gibran rakabuming rakateguh prakosa langsung blusukan online,Gibran-Teguh,1,0.307692308,0,positive,0.307692308,1,Netral,1,TRUE
124,9/28/2020 5:00,gibran rakabuming raka resmi calon wali kota solo pilih kepala daerah pilkada serentak b,Gibran-Teguh,1,0.142857143,0.142857143,positive,0,1,Netral,1,TRUE
125,9/28/2020 4:57,kampanyepilkadavirtual sdh paslon walikota calon wakil walikota solo nomor urut gibran teguh pd h,Gibran-Teguh,1,0.071428571,0.071428571,positive,0,1,Netral,1,TRUE
126,9/28/2020 4:50,berita kampanye virtual sdh paslon walikota calon wakil walikota solo,Gibran-Teguh,1,0,0.1,negative,-0.1,1,Netral,1,TRUE
127,9/28/2020 4:40,ranting pdi juang sekota surakarta menang gibranteguh taat p,Gibran-Teguh,1,0.444444444,0,positive,0.444444444,0,Negatif,,TRUE
128,9/28/2020 4:37,pasang cawali cawawali solo nomor urut gibran rakabuming rakateguh prakosa langsung blusukan,Gibran-Teguh,1,0.333333333,0,positive,0.333333333,1,Netral,1,TRUE
129,9/28/2020 3:39,kampanyepilkadavirtualkampanye perdana gibranteguh blusukan daring virtual boxkampanye gibran bl,Gibran-Teguh,1,0.111111111,0,positive,0.111111111,0,Negatif,,TRUE
130,9/28/2020 3:39,timbul kerumun massa pasang calon walikota solo gibran rakabuming raka teguh prakoso lak,Gibran-Teguh,1,0.307692308,0.076923077,positive,0.230769231,1,Netral,1,TRUE
131,9/28/2020 3:39,kampanyepilkadavirtualkampanye virtual jg paslon gibran rakabuming rakateguh prakosa pilkada solo,Gibran-Teguh,1,0.4,0,positive,0.4,1,Netral,1,TRUE
